precision,recall,f1,error,window
0.4311377245508982,0.5373134328358209,0.4784053156146179,"2,3,3,1,2,2,2,3,2,2,2,-1,2,-3,2,0,1,4,2,1,4,3,4,4,4,2,-1,1,4,4,-2,-1,1,-4,0,1,3,-5,-4,-2,1,-4,2,3,1,-1,2,2,3,4,1,4,0,2,1,0,0,2,1,3,2,-5,3,-4,1,4,3,-1,0,-5,1,1",5
0.5209580838323353,0.6492537313432836,0.5780730897009967,"2,3,3,7,1,2,2,2,3,2,2,2,-1,2,-3,2,0,1,4,2,1,5,4,3,4,4,4,2,-1,1,-6,4,4,7,-2,-1,7,1,-4,0,-8,1,3,-6,-5,-4,-6,-2,1,-4,2,3,1,-1,2,2,3,8,4,1,4,0,2,1,0,0,2,5,1,3,2,8,-5,3,-4,1,4,3,-1,5,0,-10,-5,1,9,6,1",10
0.5515151515151515,0.6791044776119403,0.6086956521739131,"3,6,-4,5,3,5,6,2,4,4,10,3,1,-4,5,3,3,6,4,14,14,6,5,6,3,9,5,3,4,1,3,6,4,8,-1,-1,7,-7,13,3,2,1,2,-9,6,4,3,1,-5,2,3,-3,3,2,5,2,-2,2,3,4,9,5,2,5,2,2,2,0,0,14,2,5,3,2,10,-1,6,-1,2,6,4,-1,7,6,5,-5,12,5,11,9,3",15
0.5921052631578947,0.6716417910447762,0.6293706293706294,"5,6,10,5,16,8,6,7,2,4,5,5,2,-1,2,4,3,6,4,15,14,5,6,7,3,5,5,4,4,3,7,5,8,5,7,13,3,2,1,3,2,6,5,3,-3,-6,5,3,-4,3,2,5,3,-2,3,3,4,10,16,3,5,4,13,7,9,0,0,16,3,6,4,4,4,10,1,6,-1,2,8,4,0,8,5,6,-2,16,6,12,10,5",20
0.6118421052631579,0.6940298507462687,0.6503496503496503,"5,6,10,5,16,8,6,7,2,4,5,5,2,-1,2,4,3,6,4,15,14,5,6,7,3,5,5,4,4,3,23,7,5,8,5,7,13,3,2,24,1,3,2,6,5,3,-3,22,-6,5,3,-4,3,2,5,3,-2,3,3,4,10,16,3,5,4,13,7,9,0,0,16,3,6,4,4,4,10,1,6,-1,2,8,4,0,8,5,6,-2,16,6,12,10,5",25
0.625,0.7089552238805971,0.6643356643356644,"5,6,10,5,16,8,6,7,2,4,5,25,5,2,-1,2,4,3,6,4,15,14,5,6,7,3,5,5,4,4,3,23,7,5,8,5,7,13,3,2,24,1,3,2,6,5,3,-3,22,-6,5,3,-4,3,2,5,3,-2,3,3,4,10,16,3,5,4,13,7,9,0,0,16,-29,3,6,4,4,4,10,1,6,-1,2,8,4,0,8,5,6,-2,16,6,12,10,5",30
0.6644736842105263,0.753731343283582,0.7062937062937064,"5,6,10,5,16,30,8,6,7,2,4,5,25,5,2,-1,2,4,3,6,4,15,14,5,6,7,3,5,5,4,4,3,23,7,5,8,5,7,30,13,3,2,33,24,1,3,2,6,5,33,3,-3,22,-6,5,3,-4,3,2,5,3,-2,3,3,4,10,16,3,5,4,13,7,9,0,0,16,-29,31,3,6,4,4,4,10,1,6,-1,32,2,8,4,0,8,5,6,-2,16,6,12,10,5",35
0.6776315789473685,0.7686567164179104,0.7202797202797204,"5,6,10,5,16,30,8,6,7,2,4,5,25,5,-39,2,-1,35,2,4,3,6,4,15,14,5,6,7,3,5,5,4,4,3,23,7,5,8,5,7,30,13,3,2,33,24,1,3,2,6,5,33,3,-3,22,-6,5,3,-4,3,2,5,3,-2,3,3,4,10,16,3,5,4,13,7,9,0,0,16,-29,31,3,6,4,4,4,10,1,6,-1,32,2,8,4,0,8,5,6,-2,16,6,12,10,5",40
